polyid,geometry
113,"POLYGON ((116.1305414761261 39.69744266751528, 116.1363727171363 39.69748618651364, 116.1364288567718 39.69298156059165, 116.1305979947023 39.69293804850957, 116.1305414761261 39.69744266751528))"
114,"POLYGON ((116.1363727171363 39.69748618651364, 116.1422039707636 39.69752941271962, 116.1422597314553 39.69302477992786, 116.1364288567718 39.69298156059165, 116.1363727171363 39.69748618651364))"
115,"POLYGON ((116.1422039707636 39.69752941271962, 116.1480352369231 39.69757234613139, 116.1480906186676 39.69306770651638, 116.1422597314553 39.69302477992786, 116.1422039707636 39.69752941271962))"
116,"POLYGON ((116.1480352369231 39.69757234613139, 116.1538665155293 39.69761498674706, 116.1539215183238 39.69311034035534, 116.1480906186676 39.69306770651638, 116.1480352369231 39.69757234613139))"
117,"POLYGON ((116.1538665155293 39.69761498674706, 116.1596978064973 39.69765733456479, 116.1597524303386 39.69315268144287, 116.1539215183238 39.69311034035534, 116.1538665155293 39.69761498674706))"
118,"POLYGON ((116.1596978064973 39.69765733456479, 116.1655291097419 39.69769938958275, 116.1655833546269 39.69319472977718, 116.1597524303386 39.69315268144287, 116.1596978064973 39.69765733456479))"
119,"POLYGON ((116.1655291097419 39.69769938958275, 116.171360425178 39.69774115179914, 116.1714142911036 39.69323648535643, 116.1655833546269 39.69319472977718, 116.1655291097419 39.69769938958275))"
120,"POLYGON ((116.171360425178 39.69774115179914, 116.1771917527203 39.69778262121214, 116.1772452396836 39.69327794817882, 116.1714142911036 39.69323648535643, 116.171360425178 39.69774115179914))"
121,"POLYGON ((116.1771917527203 39.69778262121214, 116.1830230922838 39.69782379781997, 116.1830762002818 39.69331911824256, 116.1772452396836 39.69327794817882, 116.1771917527203 39.69778262121214))"
122,"POLYGON ((116.1830230922838 39.69782379781997, 116.1888544437832 39.69786468162084, 116.1889071728129 39.69335999554586, 116.1830762002818 39.69331911824256, 116.1830230922838 39.69782379781997))"
123,"POLYGON ((116.1888544437832 39.69786468162084, 116.1946858071335 39.69790527261299, 116.194738157192 39.69340058008697, 116.1889071728129 39.69335999554586, 116.1888544437832 39.69786468162084))"
124,"POLYGON ((116.1946858071335 39.69790527261299, 116.2005171822495 39.69794557079465, 116.2005691533337 39.69344087186416, 116.194738157192 39.69340058008697, 116.1946858071335 39.69790527261299))"
125,"POLYGON ((116.2005171822495 39.69794557079465, 116.2063485690459 39.69798557616411, 116.2064001611531 39.69348087087563, 116.2005691533337 39.69344087186416, 116.2005171822495 39.69794557079465))"
126,"POLYGON ((116.2063485690459 39.69798557616411, 116.2121799674378 39.69802528871961, 116.212231180565 39.69352057711968, 116.2064001611531 39.69348087087563, 116.2063485690459 39.69798557616411))"
127,"POLYGON ((116.2121799674378 39.69802528871961, 116.2180113773399 39.69806470845945, 116.2180622114842 39.69355999059461, 116.212231180565 39.69352057711968, 116.2121799674378 39.69802528871961))"
128,"POLYGON ((116.2180113773399 39.69806470845945, 116.223842798667 39.69810383538192, 116.2238932538256 39.69359911129871, 116.2180622114842 39.69355999059461, 116.2180113773399 39.69806470845945))"
129,"POLYGON ((116.223842798667 39.69810383538192, 116.229674231334 39.69814266948534, 116.2297243075041 39.69363793923026, 116.2238932538256 39.69359911129871, 116.223842798667 39.69810383538192))"
130,"POLYGON ((116.229674231334 39.69814266948534, 116.2355056752558 39.69818121076803, 116.2355553724345 39.69367647438761, 116.2297243075041 39.69363793923026, 116.229674231334 39.69814266948534))"
131,"POLYGON ((116.2355056752558 39.69818121076803, 116.2413371303471 39.69821945922829, 116.2413864485317 39.6937147167691, 116.2355553724345 39.69367647438761, 116.2355056752558 39.69818121076803))"
132,"POLYGON ((116.2413371303471 39.69821945922829, 116.2471685965228 39.69825741486451, 116.2472175357105 39.69375266637306, 116.2413864485317 39.6937147167691, 116.2413371303471 39.69821945922829))"
133,"POLYGON ((116.2471685965228 39.69825741486451, 116.2530000736978 39.69829507767505, 116.2530486338858 39.69379032319786, 116.2472175357105 39.69375266637306, 116.2471685965228 39.69825741486451))"
134,"POLYGON ((116.2530000736978 39.69829507767505, 116.2588315617868 39.69833244765826, 116.2588797429725 39.69382768724186, 116.2530486338858 39.69379032319786, 116.2530000736978 39.69829507767505))"
135,"POLYGON ((116.2588315617868 39.69833244765826, 116.2646630607048 39.69836952481253, 116.2647108628855 39.69386475850348, 116.2588797429725 39.69382768724186, 116.2588315617868 39.69833244765826))"
136,"POLYGON ((116.2646630607048 39.69836952481253, 116.2704945703665 39.69840630913627, 116.2705419935394 39.69390153698108, 116.2647108628855 39.69386475850348, 116.2646630607048 39.69836952481253))"
137,"POLYGON ((116.2704945703665 39.69840630913627, 116.2763260906868 39.69844280062786, 116.2763731348493 39.69393802267308, 116.2705419935394 39.69390153698108, 116.2704945703665 39.69840630913627))"
138,"POLYGON ((116.2763260906868 39.69844280062786, 116.2821576215805 39.69847899928575, 116.28220428673 39.69397421557792, 116.2763731348493 39.69393802267308, 116.2763260906868 39.69844280062786))"
139,"POLYGON ((116.2821576215805 39.69847899928575, 116.2879891629624 39.69851490510839, 116.2880354490963 39.69401011569401, 116.28220428673 39.69397421557792, 116.2821576215805 39.69847899928575))"
140,"POLYGON ((116.2879891629624 39.69851490510839, 116.2938207147474 39.6985505180942, 116.2938666218631 39.69404572301983, 116.2880354490963 39.69401011569401, 116.2879891629624 39.69851490510839))"
141,"POLYGON ((116.2938207147474 39.6985505180942, 116.2996522768504 39.69858583824164, 116.2996978049452 39.69408103755382, 116.2938666218631 39.69404572301983, 116.2938207147474 39.6985505180942))"
142,"POLYGON ((116.2996522768504 39.69858583824164, 116.305483849186 39.6986208655492, 116.3055289982574 39.69411605929446, 116.2996978049452 39.69408103755382, 116.2996522768504 39.69858583824164))"
143,"POLYGON ((116.305483849186 39.6986208655492, 116.3113154316692 39.69865560001536, 116.3113602017147 39.69415078824024, 116.3055289982574 39.69411605929446, 116.305483849186 39.6986208655492))"
144,"POLYGON ((116.3113154316692 39.69865560001536, 116.3171470242148 39.69869004163861, 116.3171914152319 39.69418522438963, 116.3113602017147 39.69415078824024, 116.3113154316692 39.69865560001536))"
145,"POLYGON ((116.3171470242148 39.69869004163861, 116.3229786267376 39.69872419041748, 116.3230226387238 39.69421936774119, 116.3171914152319 39.69418522438963, 116.3171470242148 39.69869004163861))"
