polyid,alpha,I_index,flowtotalcnt,flowtotallength
1150,823.8826872619017,1.0,1.0,25.128902678819095
1166,823.8826872619017,1.0,1.0,9.69153903405873
1167,823.8826872619017,3.0,4.0,10.312927940569363
1168,823.8826872619017,2.0,6.0,14.505196450133253
1170,823.8826872619017,2.0,3.0,6.412454839198021
1172,823.8826872619017,4.0,14.0,62.31309584788942
1173,823.8826872619017,1.0,1.0,1.0967562414363172
1174,823.8826872619017,3.0,3.0,20.155328756291514
1175,823.8826872619017,2.0,4.0,9.0003359670393
1176,823.8826872619017,1.0,1.0,2.455738465281464
1177,823.8826872619017,1.0,1.0,2.308185655911712
1179,823.8826872619017,1.0,1.0,2.9276433811852036
1184,823.8826872619017,1.0,1.0,5.30433643849554
1201,823.8826872619017,1.0,1.0,19.539802739466904
1203,823.8826872619017,1.0,1.0,1.5659644928353653
1204,823.8826872619017,1.0,2.0,2.8703748706992203
1205,823.8826872619017,1.0,3.0,3.1813890731532797
1206,823.8826872619017,4.0,17.0,79.91895657914692
1207,823.8826872619017,4.0,24.0,78.00039135566898
1208,823.8826872619017,2.0,2.0,32.637103306652634
1209,823.8826872619017,1.0,1.0,1.39473950418309
1210,823.8826872619017,2.0,2.0,9.938894012443471
1212,823.8826872619017,1.0,1.0,10.040572484505848
1213,823.8826872619017,3.0,3.0,8.2016185380485
1218,823.8826872619017,1.0,1.0,2.851980253770715
1235,823.8826872619017,1.0,1.0,4.4074989081848965
1241,823.8826872619017,4.0,4.0,95.15954484490429
1242,823.8826872619017,4.0,7.0,55.33251604034021
1243,823.8826872619017,4.0,5.0,80.93637442933785
1247,823.8826872619017,4.0,4.0,31.97832134430398
1272,823.8826872619017,1.0,1.0,2.8562640654042424
1276,823.8826872619017,1.0,1.0,2.439376560159091
1277,823.8826872619017,1.0,1.0,2.797447277208477
1278,823.8826872619017,2.0,3.0,13.044761852668609
1279,823.8826872619017,3.0,10.0,61.52136439728419
1280,823.8826872619017,3.0,6.0,26.677392720554444
1281,823.8826872619017,2.0,4.0,8.406945294414609
1287,823.8826872619017,1.0,1.0,2.834224315263098
1307,823.8826872619017,2.0,2.0,21.773056609043195
1308,823.8826872619017,2.0,2.0,5.238753764236282
1309,823.8826872619017,2.0,11.0,54.4834703675964
1310,823.8826872619017,2.0,6.0,25.72939811286671
1311,823.8826872619017,1.0,4.0,6.183300338811787
1312,823.8826872619017,4.0,5.0,32.83417675302198
1313,823.8826872619017,4.0,7.0,67.86115307104225
1321,823.8826872619017,2.0,2.0,49.426380801712895
1326,823.8826872619017,1.0,1.0,11.054584541320011
1331,823.8826872619017,1.0,1.0,6.555407383102217
1332,823.8826872619017,1.0,1.0,12.260953400134389
1342,823.8826872619017,4.0,5.0,18.90335354609499
1344,823.8826872619017,1.0,1.0,23.034503177278385
1348,823.8826872619017,1.0,1.0,1.5247948641076623
1349,823.8826872619017,3.0,3.0,29.26882245582268
1351,823.8826872619017,1.0,1.0,3.2110674175651273
1367,823.8826872619017,3.0,3.0,76.25415037182728
1381,823.8826872619017,2.0,2.0,6.9327405024751805
1382,823.8826872619017,3.0,6.0,16.62768324963812
1383,823.8826872619017,1.0,1.0,1.8918390486575958
1385,823.8826872619017,1.0,3.0,3.4100955016761376
1386,823.8826872619017,5.0,7.0,51.34702880182057
1387,823.8826872619017,1.0,1.0,1.750153199385166
1388,823.8826872619017,1.0,1.0,21.73447393496898
1391,823.8826872619017,1.0,1.0,3.5343342023536
1392,823.8826872619017,2.0,2.0,12.157771904389351
1407,823.8826872619017,1.0,1.0,6.792585256273919
1410,823.8826872619017,1.0,1.0,4.133317109453598
1411,823.8826872619017,3.0,4.0,52.8319146264831
1414,823.8826872619017,3.0,6.0,14.000334148008012
1415,823.8826872619017,4.0,11.0,53.62991377447879
1416,823.8826872619017,3.0,15.0,70.10320872516395
1417,823.8826872619017,2.0,14.0,42.35817260400393
1418,823.8826872619017,5.0,30.0,137.83063055923995
1419,823.8826872619017,4.0,10.0,49.31605236704138
1420,823.8826872619017,0.0,2.0,1.1171420044401357
1421,823.8826872619017,1.0,1.0,1.3886746247166017
1427,823.8826872619017,2.0,2.0,24.326119359736374
1442,823.8826872619017,2.0,2.0,14.74791793935707
1445,823.8826872619017,1.0,1.0,1.5614079033987922
1448,823.8826872619017,1.0,2.0,16.99422158542022
1453,823.8826872619017,1.0,1.0,32.59459155360706
1454,823.8826872619017,4.0,4.0,60.39500133694677
1455,823.8826872619017,4.0,5.0,86.09955311458533
1456,823.8826872619017,1.0,1.0,18.005344802671583
1457,823.8826872619017,3.0,5.0,12.669658502383813
1461,823.8826872619017,1.0,1.0,22.36187590982957
1487,823.8826872619017,1.0,2.0,4.04959934254205
1488,823.8826872619017,1.0,1.0,1.7948693079013902
1490,823.8826872619017,1.0,1.0,2.5019331220236323
1492,823.8826872619017,0.0,1.0,0.48810237483836283
1493,823.8826872619017,2.0,3.0,28.78235824350546
1494,823.8826872619017,1.0,1.0,3.683149601184459
1495,823.8826872619017,3.0,4.0,15.70077571660443
1496,823.8826872619017,1.0,1.0,18.78798908884473
1502,823.8826872619017,3.0,3.0,15.459680344248317
1503,823.8826872619017,1.0,1.0,7.5090921631936824
1504,823.8826872619017,2.0,2.0,22.106973297670724
1515,823.8826872619017,1.0,1.0,1.8176055380943714
1520,823.8826872619017,4.0,12.0,72.8335943237861
1521,823.8826872619017,3.0,23.0,49.985763431001544
1522,823.8826872619017,3.0,17.0,60.05625378223811
1523,823.8826872619017,1.0,5.0,23.221435618176038
1524,823.8826872619017,5.0,12.0,98.59846610923697
1525,823.8826872619017,4.0,12.0,103.01050998484105
1526,823.8826872619017,3.0,6.0,34.13128009542555
1527,823.8826872619017,3.0,5.0,32.81993352935313
1528,823.8826872619017,2.0,3.0,9.714963940631876
1529,823.8826872619017,3.0,3.0,18.884159242602273
1541,823.8826872619017,2.0,2.0,11.425494182606995
1544,823.8826872619017,1.0,1.0,1.429280467758201
1549,823.8826872619017,1.0,1.0,3.8006638660421843
1550,823.8826872619017,1.0,1.0,4.127743356100121
1551,823.8826872619017,2.0,2.0,19.466430644245758
1552,823.8826872619017,2.0,2.0,6.810784373838114
1553,823.8826872619017,1.0,1.0,3.548008104508638
1555,823.8826872619017,2.0,3.0,40.27529494558294
1558,823.8826872619017,1.0,1.0,2.039721003924529
1559,823.8826872619017,2.0,2.0,26.392290478549278
1560,823.8826872619017,4.0,5.0,64.32595154104334
1561,823.8826872619017,4.0,9.0,77.74351029597315
1562,823.8826872619017,1.0,2.0,6.058417428179182
1563,823.8826872619017,4.0,5.0,60.01209327914455
1566,823.8826872619017,1.0,1.0,4.133383354828654
1575,823.8826872619017,1.0,1.0,14.451211059252532
1592,823.8826872619017,3.0,3.0,11.290910393930458
1600,823.8826872619017,3.0,3.0,32.909113597771
1601,823.8826872619017,5.0,7.0,78.6876563955933
1602,823.8826872619017,3.0,4.0,17.907775091467823
1605,823.8826872619017,3.0,5.0,16.372948599281333
1606,823.8826872619017,2.0,4.0,9.920027722082224
1608,823.8826872619017,3.0,4.0,59.59058385827734
1610,823.8826872619017,3.0,3.0,47.9408144936772
1618,823.8826872619017,1.0,1.0,11.65059461110488
1621,823.8826872619017,1.0,1.0,4.3482256351363695
1627,823.8826872619017,3.0,16.0,44.38563977425549
1628,823.8826872619017,2.0,4.0,6.800181105645399
1629,823.8826872619017,1.0,1.0,42.246282280879434
1630,823.8826872619017,1.0,3.0,4.851857396071939
1631,823.8826872619017,1.0,4.0,15.303912495893243
1632,823.8826872619017,4.0,7.0,48.344479212095024
1633,823.8826872619017,4.0,12.0,74.78808641975664
1634,823.8826872619017,3.0,8.0,46.89596688736728
1635,823.8826872619017,3.0,4.0,37.07769340945727
1636,823.8826872619017,4.0,6.0,47.663604720308506
1639,823.8826872619017,2.0,2.0,9.8684348148978
1645,823.8826872619017,1.0,1.0,6.95778315800929
1648,823.8826872619017,2.0,2.0,8.736953569113753
1649,823.8826872619017,1.0,1.0,9.296402721905608
1651,823.8826872619017,3.0,3.0,21.30481953959416
1656,823.8826872619017,3.0,4.0,36.92245527401148
1657,823.8826872619017,5.0,9.0,65.0500480337939
1658,823.8826872619017,5.0,8.0,36.76381338562108
1659,823.8826872619017,5.0,10.0,82.2605056955298
1660,823.8826872619017,1.0,1.0,11.904443678550681
1663,823.8826872619017,2.0,2.0,31.18078254140216
1665,823.8826872619017,1.0,1.0,17.812371596802564
1667,823.8826872619017,5.0,6.0,65.93649491672353
1668,823.8826872619017,4.0,5.0,20.703287253927556
1669,823.8826872619017,1.0,1.0,19.331200566632113
1673,823.8826872619017,2.0,2.0,28.04103967567206
1692,823.8826872619017,1.0,1.0,13.428363682993174
1697,823.8826872619017,1.0,1.0,25.643047729186467
1706,823.8826872619017,3.0,3.0,47.29345455084031
1707,823.8826872619017,3.0,5.0,16.873399659644335
1708,823.8826872619017,1.0,1.0,2.8836428818910025
1710,823.8826872619017,1.0,1.0,5.17335090371116
1711,823.8826872619017,4.0,6.0,35.68444448465751
1712,823.8826872619017,1.0,1.0,1.7621363848599656
1714,823.8826872619017,1.0,1.0,14.422778837905097
1715,823.8826872619017,1.0,1.0,18.120877098437642
1718,823.8826872619017,1.0,1.0,15.394174447048037
1724,823.8826872619017,0.0,1.0,0.633817973842536
1731,823.8826872619017,3.0,7.0,34.91887056587818
1732,823.8826872619017,2.0,4.0,31.22479892603006
1733,823.8826872619017,6.0,12.0,174.20145009823668
1734,823.8826872619017,1.0,4.0,7.623475220569251
1735,823.8826872619017,3.0,7.0,16.552852450967666
1736,823.8826872619017,4.0,21.0,78.62568344199202
1737,823.8826872619017,4.0,10.0,100.57322443379621
1738,823.8826872619017,2.0,2.0,23.428909597622354
1742,823.8826872619017,1.0,1.0,4.08619850160077
1744,823.8826872619017,2.0,2.0,35.13616387373281
1745,823.8826872619017,2.0,2.0,11.587844741673257
1746,823.8826872619017,1.0,1.0,10.038009950663076
1748,823.8826872619017,3.0,3.0,18.506462426717807
1749,823.8826872619017,1.0,1.0,16.36451528050617
1750,823.8826872619017,1.0,1.0,10.068305790349234
1752,823.8826872619017,1.0,1.0,1.6603905901003804
1754,823.8826872619017,0.0,1.0,0.7998069383445142
1755,823.8826872619017,2.0,2.0,15.091013237483727
1756,823.8826872619017,3.0,3.0,24.898522180099373
1757,823.8826872619017,4.0,4.0,55.87777695239698
1763,823.8826872619017,1.0,1.0,20.116873439348012
1765,823.8826872619017,5.0,6.0,86.22080058983646
1766,823.8826872619017,4.0,6.0,51.00137692148728
1767,823.8826872619017,2.0,4.0,26.10047991509614
1768,823.8826872619017,2.0,2.0,21.374655417600174
1770,823.8826872619017,2.0,2.0,34.834540790320986
1771,823.8826872619017,1.0,1.0,9.86510848651128
1772,823.8826872619017,2.0,2.0,26.996242982212316
1773,823.8826872619017,1.0,1.0,3.9101075720197747
1774,823.8826872619017,1.0,2.0,6.1193897709712
1775,823.8826872619017,2.0,4.0,27.693379377767886
1777,823.8826872619017,2.0,3.0,20.024683140493348
1793,823.8826872619017,1.0,1.0,1.3871895409380315
1802,823.8826872619017,0.0,1.0,0.6798211936206245
1803,823.8826872619017,1.0,1.0,4.8528830004025005
1812,823.8826872619017,1.0,1.0,15.587041397341986
1813,823.8826872619017,1.0,1.0,27.74388257451624
1814,823.8826872619017,5.0,6.0,66.54585582666314
1818,823.8826872619017,2.0,2.0,11.84494445736865
1822,823.8826872619017,1.0,1.0,20.14843630236793
1831,823.8826872619017,1.0,1.0,12.752094273833588
1832,823.8826872619017,2.0,2.0,13.388427609507948
1837,823.8826872619017,2.0,2.0,17.723299801551853
1840,823.8826872619017,1.0,1.0,1.952666053675963
1842,823.8826872619017,2.0,2.0,11.297757217117608
1843,823.8826872619017,1.0,1.0,3.1388370688675344
1845,823.8826872619017,0.0,1.0,0.6606929781191219
1847,823.8826872619017,5.0,9.0,98.12045672379158
1849,823.8826872619017,1.0,2.0,11.866804235691397
1850,823.8826872619017,3.0,3.0,25.618527260756018
1857,823.8826872619017,1.0,1.0,16.781474962601752
1858,823.8826872619017,1.0,1.0,12.530009698738416
1859,823.8826872619017,1.0,1.0,11.757865231855297
1862,823.8826872619017,1.0,1.0,3.1248339720370395
1871,823.8826872619017,3.0,8.0,35.178096020890514
1875,823.8826872619017,1.0,1.0,13.040929508112043
1876,823.8826872619017,2.0,2.0,6.150850697407372
1877,823.8826872619017,3.0,11.0,59.37813191255286
1878,823.8826872619017,2.0,3.0,7.332739862935403
1879,823.8826872619017,2.0,2.0,51.27302262195673
1886,823.8826872619017,1.0,1.0,30.40992573213737
1919,823.8826872619017,1.0,1.0,4.806296793037471
1920,823.8826872619017,1.0,1.0,5.656881467498884
1921,823.8826872619017,3.0,3.0,39.75741666109486
1924,823.8826872619017,1.0,1.0,16.591359192972956
1929,823.8826872619017,1.0,1.0,1.3920680299930082
1931,823.8826872619017,1.0,1.0,4.8056974373997
1936,823.8826872619017,1.0,1.0,12.727375222528508
1939,823.8826872619017,1.0,1.0,11.833422311153774
1941,823.8826872619017,1.0,1.0,4.2074454282119245
1942,823.8826872619017,1.0,1.0,3.136379636535741
1945,823.8826872619017,1.0,1.0,3.4316995422229395
1946,823.8826872619017,1.0,2.0,16.34554368619383
1947,823.8826872619017,4.0,9.0,70.33971015554778
1948,823.8826872619017,11.0,15.0,244.33105662938198
1949,823.8826872619017,6.0,11.0,125.35271726339327
1950,823.8826872619017,2.0,4.0,6.348167018472764
1951,823.8826872619017,1.0,1.0,1.6636564676137982
1952,823.8826872619017,2.0,2.0,17.461783065699404
1953,823.8826872619017,2.0,2.0,5.823331654550895
1954,823.8826872619017,4.0,4.0,62.02220355419355
1960,823.8826872619017,3.0,3.0,22.994837988258254
1965,823.8826872619017,1.0,1.0,8.68849131332991
1966,823.8826872619017,1.0,2.0,3.613863131103716
1974,823.8826872619017,1.0,1.0,3.0026028285600708
1975,823.8826872619017,2.0,2.0,15.953194165299053
1976,823.8826872619017,1.0,1.0,13.55306335027694
1977,823.8826872619017,3.0,4.0,48.257572257426155
1979,823.8826872619017,3.0,4.0,21.523502268928205
1980,823.8826872619017,3.0,8.0,77.47702987492282
1981,823.8826872619017,4.0,11.0,56.407090171506375
1982,823.8826872619017,2.0,2.0,17.302380519106322
1983,823.8826872619017,1.0,1.0,12.524628670770172
1984,823.8826872619017,4.0,4.0,28.307511399874688
1986,823.8826872619017,1.0,1.0,3.22215275598504
1987,823.8826872619017,5.0,7.0,85.90831462221676
1988,823.8826872619017,1.0,1.0,34.25542044702227
1990,823.8826872619017,1.0,1.0,29.867162175273307
2035,823.8826872619017,1.0,1.0,8.650208576338416
2047,823.8826872619017,1.0,1.0,6.1921514873924695
2048,823.8826872619017,5.0,6.0,58.202249970388436
2049,823.8826872619017,1.0,1.0,12.128268083683086
2051,823.8826872619017,2.0,2.0,12.273990269667118
2052,823.8826872619017,2.0,2.0,11.444286844784877
2054,823.8826872619017,3.0,5.0,48.29488307739778
2055,823.8826872619017,4.0,5.0,39.668901519906186
2056,823.8826872619017,1.0,3.0,4.725056120968427
2058,823.8826872619017,1.0,1.0,19.54950778738188
2060,823.8826872619017,1.0,1.0,0.8823183168484607
2062,823.8826872619017,1.0,1.0,1.079184004891403
2066,823.8826872619017,1.0,1.0,7.6853609725335
2068,823.8826872619017,1.0,1.0,9.836386649881657
2071,823.8826872619017,2.0,2.0,16.452155708317676
2072,823.8826872619017,5.0,7.0,53.6422274853188
2082,823.8826872619017,1.0,1.0,27.13854808457723
2083,823.8826872619017,2.0,2.0,28.320429475895878
2084,823.8826872619017,1.0,2.0,3.605673628265466
2085,823.8826872619017,1.0,2.0,3.897109607042728
2086,823.8826872619017,3.0,5.0,20.03093681987253
2087,823.8826872619017,4.0,7.0,35.63824950284703
2088,823.8826872619017,3.0,4.0,47.8143959423211
2089,823.8826872619017,1.0,1.0,4.544749415890221
2093,823.8826872619017,2.0,2.0,31.467826987891662
2094,823.8826872619017,1.0,1.0,11.328612044706901
2095,823.8826872619017,1.0,1.0,14.884697402537174
2151,823.8826872619017,1.0,1.0,11.167472346468415
2152,823.8826872619017,2.0,3.0,15.730635602853075
2153,823.8826872619017,4.0,6.0,83.81459226245778
2154,823.8826872619017,2.0,4.0,18.570607413391823
2155,823.8826872619017,1.0,1.0,11.318232864440104
2156,823.8826872619017,1.0,1.0,6.195621484489646
2159,823.8826872619017,1.0,1.0,1.244431170374904
2160,823.8826872619017,7.0,11.0,140.8070412252286
2161,823.8826872619017,4.0,4.0,75.26198262958698
2162,823.8826872619017,6.0,9.0,72.26807698918225
2163,823.8826872619017,3.0,5.0,48.983773682427696
2164,823.8826872619017,2.0,2.0,24.649643951965512
2165,823.8826872619017,1.0,1.0,11.2825363909699
2169,823.8826872619017,1.0,1.0,5.769850360083025
2172,823.8826872619017,2.0,2.0,5.42429983775746
2173,823.8826872619017,6.0,6.0,72.67279673051173
2175,823.8826872619017,4.0,6.0,57.53208221328559
2176,823.8826872619017,2.0,2.0,29.88024996413606
2185,823.8826872619017,1.0,1.0,2.043663073200502
2186,823.8826872619017,4.0,5.0,69.5745942429147
2187,823.8826872619017,2.0,3.0,16.071132833204246
2188,823.8826872619017,4.0,5.0,81.63867695416202
2189,823.8826872619017,3.0,4.0,48.142276900881896
2190,823.8826872619017,1.0,2.0,2.1039435492537244
2191,823.8826872619017,1.0,3.0,10.186006807043873
2192,823.8826872619017,6.0,12.0,160.90688202846985
2193,823.8826872619017,6.0,15.0,117.41885556163095
2194,823.8826872619017,0.0,1.0,0.0738088433878469
2195,823.8826872619017,3.0,4.0,12.193924513240335
2196,823.8826872619017,1.0,1.0,3.81521743457511
2197,823.8826872619017,3.0,5.0,15.298546718434395
